Name
Neeskens Kebano
Terence Kongolo
Tyrese Francois
Sam Johnstone
Darnell Furlong
Semi Ajayi
Matheus Pereira
Kyle Bartley
Conor Gallagher
Conor Townsend
Dara O'Shea
Matt Phillips
Callum Robinson
Romaine Sawyers
Okay Yokuşlu
Jake Livermore
Grady Diangana
Ainsley Maitland-Niles
Mbaye Diagne
Karlan Grant
Kieran Gibbs
Branislav Ivanović
Robert Snodgrass
Filip Krovinović
Lee Peltier
Hal Robson-Kanu
Kamil Grosicki
Kyle Edwards
David Button
Ahmed Hegazi
Charlie Austin
Sam Field
Rekeem Harper
Aaron Ramsdale
George Baldock
Chris Basham
Enda Stevens
John Egan
John Fleck
David McGoldrick
Oliver Norwood
Ethan Ampadu
John Lundstram
Ben Osborn
Oliver Burke
Sander Berge
Oliver McBurnie
Rhian Brewster
Jayden Bogle
Kean Bryan
Jack Robinson
Billy Sharp
Max Lowe
Phil Jagielka
Daniel Jebbison
Lys Mousset
Jack O'Connell
Iliman Ndiaye
Antwoine Hackford
Femi Seriki
Cristiano Ronaldo
Toney
